First root.player = true
parent: 0
current.player: false
parent.id = 0, parent.coordinate: {8 8}, parent.value = 0
child.id = 431, child.coordinate: {8 2}, child.value = 7462
child.id = 432, child.coordinate: {8 3}, child.value = 9231
child.id = 433, child.coordinate: {8 4}, child.value = 12092
child.id = 434, child.coordinate: {8 5}, child.value = 21870
child.id = 435, child.coordinate: {8 6}, child.value = 17820
child.id = 436, child.coordinate: {8 7}, child.value = 21870
child.id = 437, child.coordinate: {8 9}, child.value = 8973341
child.id = 438, child.coordinate: {8 10}, child.value = 4490315
child.id = 439, child.coordinate: {4 11}, child.value = 14094
child.id = 440, child.coordinate: {4 12}, child.value = 12420
child.id = 441, child.coordinate: {5 11}, child.value = 21870
child.id = 442, child.coordinate: {5 12}, child.value = 26244
child.id = 443, child.coordinate: {6 11}, child.value = 26244
child.id = 444, child.coordinate: {6 12}, child.value = 20409
child.id = 445, child.coordinate: {7 11}, child.value = 19924
child.id = 446, child.coordinate: {7 12}, child.value = 26244
child.id = 447, child.coordinate: {8 11}, child.value = 2261358
child.id = 448, child.coordinate: {8 12}, child.value = 1141614
child.id = 449, child.coordinate: {9 4}, child.value = 13766
child.id = 450, child.coordinate: {9 5}, child.value = 21866
child.id = 451, child.coordinate: {9 6}, child.value = 20409
child.id = 452, child.coordinate: {9 7}, child.value = 8973502
child.id = 453, child.coordinate: {9 8}, child.value = 8973341
child.id = 454, child.coordinate: {9 10}, child.value = 19845
child.id = 455, child.coordinate: {9 11}, child.value = 20088
child.id = 456, child.coordinate: {9 12}, child.value = 20655
child.id = 457, child.coordinate: {10 4}, child.value = 13766
child.id = 458, child.coordinate: {10 5}, child.value = 26244
child.id = 459, child.coordinate: {10 6}, child.value = 4500846
child.id = 460, child.coordinate: {10 7}, child.value = 26244
child.id = 461, child.coordinate: {10 8}, child.value = 4494447
child.id = 462, child.coordinate: {10 9}, child.value = 19845
child.id = 463, child.coordinate: {10 10}, child.value = 19845
child.id = 464, child.coordinate: {10 11}, child.value = 26244
child.id = 465, child.coordinate: {10 12}, child.value = 26244
child.id = 466, child.coordinate: {11 4}, child.value = 13766
child.id = 467, child.coordinate: {11 5}, child.value = 2261358
child.id = 468, child.coordinate: {11 6}, child.value = 26244
child.id = 469, child.coordinate: {11 7}, child.value = 20088
child.id = 470, child.coordinate: {11 8}, child.value = 2261358
child.id = 471, child.coordinate: {11 9}, child.value = 20088
child.id = 472, child.coordinate: {11 10}, child.value = 26244
child.id = 473, child.coordinate: {11 11}, child.value = 20088
child.id = 474, child.coordinate: {11 12}, child.value = 26244
child.id = 475, child.coordinate: {12 4}, child.value = 385556
child.id = 476, child.coordinate: {12 5}, child.value = 26244
child.id = 477, child.coordinate: {12 6}, child.value = 20655
child.id = 478, child.coordinate: {12 7}, child.value = 26244
child.id = 479, child.coordinate: {12 8}, child.value = 1141614
child.id = 480, child.coordinate: {12 9}, child.value = 20655
child.id = 481, child.coordinate: {12 10}, child.value = 26244
child.id = 482, child.coordinate: {12 11}, child.value = 26244
child.id = 483, child.coordinate: {12 12}, child.value = 20655

parent: 4
current.player: true
parent.id = 4, parent.coordinate: {4 7}, parent.value = 14094
